               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060861,            0.043834,            0.015651,             0.55009,             0.27474,             0.26464,             0.11769,             0.05994,            0.021685,           0.0073837,             0.07002,           0.0033311,           0.0033311
                   1,            0.045636,            0.040933,           0.0068771,             0.65075,             0.33369,             0.37775,             0.20308,            0.053315,            0.020222,           0.0056384,            0.039976,           0.0066205,           0.0066205
                   2,            0.043387,            0.040913,           0.0065131,             0.50601,             0.31239,             0.32181,             0.16506,            0.053526,            0.021261,           0.0060724,           0.0098879,           0.0098658,           0.0098658
                   3,            0.041318,            0.041162,           0.0065961,             0.59287,             0.37782,             0.39116,              0.2126,            0.047702,            0.020363,           0.0058754,            0.009802,            0.009802,            0.009802
                   4,            0.038341,            0.039828,           0.0051925,             0.58774,             0.42208,             0.44834,             0.26496,            0.045484,            0.019737,           0.0041315,            0.009802,            0.009802,            0.009802
                   5,            0.036531,            0.038876,           0.0045072,               0.655,             0.44064,             0.48271,             0.28569,            0.044939,            0.018583,           0.0028831,            0.009736,            0.009736,            0.009736
                   6,            0.035665,             0.03827,           0.0041782,             0.67494,             0.45993,             0.50776,             0.31027,            0.043773,            0.018472,           0.0028502,             0.00967,             0.00967,             0.00967
                   7,            0.034483,            0.037658,           0.0035243,             0.65424,             0.49278,             0.51134,             0.30732,              0.0418,            0.018385,           0.0019797,            0.009604,            0.009604,            0.009604
                   8,            0.033631,             0.03721,           0.0033764,             0.69765,             0.49085,             0.53441,             0.33049,            0.040798,            0.017841,           0.0027191,            0.009538,            0.009538,            0.009538
                   9,            0.033089,            0.036598,           0.0030508,             0.73278,             0.49976,             0.56084,             0.34294,            0.040512,            0.017397,           0.0017341,            0.009472,            0.009472,            0.009472
                  10,            0.032369,             0.03669,           0.0029245,             0.75215,             0.52631,             0.57046,             0.35126,             0.03903,            0.017398,           0.0011302,            0.009406,            0.009406,            0.009406
                  11,            0.031906,             0.03606,           0.0026474,             0.70215,             0.52104,             0.56279,             0.34997,             0.03806,            0.017466,           0.0013645,             0.00934,             0.00934,             0.00934
                  12,            0.031509,            0.035936,           0.0025976,             0.76323,             0.54186,             0.58487,             0.36587,            0.039355,             0.01708,            0.001573,            0.009274,            0.009274,            0.009274
                  13,            0.031319,            0.035488,           0.0024809,              0.7414,             0.53661,             0.58857,             0.36696,            0.038136,            0.017086,           0.0011731,            0.009208,            0.009208,            0.009208
                  14,            0.030858,            0.035596,           0.0023068,             0.75241,             0.53993,             0.58996,             0.37158,             0.03711,            0.016901,          0.00083219,            0.009142,            0.009142,            0.009142
                  15,            0.030384,            0.035179,           0.0024276,             0.72971,             0.55464,             0.60081,             0.39061,            0.037564,            0.016772,           0.0010859,            0.009076,            0.009076,            0.009076
                  16,            0.030141,            0.034886,           0.0021279,             0.75337,             0.54588,             0.61087,             0.39228,            0.036566,            0.016795,           0.0011483,             0.00901,             0.00901,             0.00901
                  17,            0.029865,            0.034705,           0.0020854,             0.77173,             0.57069,             0.62008,             0.40151,            0.036036,            0.016494,           0.0010814,            0.008944,            0.008944,            0.008944
                  18,            0.028726,            0.034042,           0.0015452,             0.74488,             0.59212,              0.6263,             0.40881,            0.035426,            0.016206,          0.00079299,            0.008878,            0.008878,            0.008878
                  19,            0.028405,            0.033721,           0.0016307,             0.75956,             0.57285,             0.62751,             0.40871,            0.035906,            0.016274,          0.00074997,            0.008812,            0.008812,            0.008812
                  20,            0.028279,            0.033627,           0.0014448,             0.75091,             0.58297,             0.62901,             0.40678,             0.03501,            0.016309,          0.00092135,            0.008746,            0.008746,            0.008746
                  21,            0.027985,            0.033493,           0.0014396,              0.7814,             0.59829,             0.64286,             0.42107,            0.035017,            0.015951,          0.00059851,             0.00868,             0.00868,             0.00868
                  22,            0.028931,            0.034112,           0.0020487,             0.74603,             0.59373,             0.63133,             0.41586,            0.034592,            0.016195,          0.00076883,            0.008614,            0.008614,            0.008614
                  23,            0.028492,            0.033786,           0.0018062,             0.76252,             0.60482,             0.63764,             0.42666,            0.034828,            0.016001,          0.00084891,            0.008548,            0.008548,            0.008548
                  24,            0.028499,            0.033673,           0.0018313,             0.77411,             0.60206,             0.64441,             0.43037,            0.033899,            0.016063,          0.00094563,            0.008482,            0.008482,            0.008482
                  25,            0.028122,            0.033521,            0.001676,             0.77268,             0.60631,             0.64292,             0.42852,            0.033491,            0.016095,          0.00084419,            0.008416,            0.008416,            0.008416
                  26,            0.027738,             0.03315,           0.0015461,             0.77776,             0.60503,             0.64802,             0.43324,            0.033149,            0.015776,          0.00090793,             0.00835,             0.00835,             0.00835
                  27,            0.027712,            0.032856,           0.0016071,             0.74543,              0.6189,             0.64271,             0.43093,            0.033659,            0.015828,          0.00099453,            0.008284,            0.008284,            0.008284
                  28,             0.02741,            0.033199,           0.0016088,             0.74596,             0.60652,             0.63936,             0.43292,              0.0339,            0.015842,          0.00082804,            0.008218,            0.008218,            0.008218
                  29,            0.027188,            0.032689,            0.001423,             0.75887,              0.6157,             0.65002,             0.43747,            0.033769,             0.01564,          0.00076258,            0.008152,            0.008152,            0.008152
                  30,            0.027135,            0.032694,           0.0014374,             0.75649,             0.62623,             0.65252,             0.43992,             0.03372,            0.015558,          0.00080717,            0.008086,            0.008086,            0.008086
                  31,            0.027046,            0.032323,           0.0013833,             0.76069,             0.61799,             0.65276,             0.44221,             0.03378,            0.015426,          0.00083012,             0.00802,             0.00802,             0.00802
                  32,            0.026481,            0.032254,           0.0012121,             0.76011,             0.62249,             0.65153,             0.44442,            0.033795,            0.015338,          0.00080815,            0.007954,            0.007954,            0.007954
                  33,            0.026247,             0.03195,           0.0013337,             0.74705,               0.625,             0.65519,              0.4473,            0.033664,             0.01535,          0.00078304,            0.007888,            0.007888,            0.007888
                  34,            0.026276,            0.031874,           0.0011957,             0.75904,             0.61702,             0.65503,             0.44666,            0.033523,            0.015359,          0.00088885,            0.007822,            0.007822,            0.007822
                  35,            0.026006,            0.031842,           0.0011381,             0.76914,             0.62474,             0.66132,             0.45004,            0.033393,            0.015394,          0.00093409,            0.007756,            0.007756,            0.007756
                  36,            0.026205,            0.031907,           0.0012667,             0.76993,             0.62281,             0.66104,             0.44916,            0.033311,            0.015393,          0.00092282,             0.00769,             0.00769,             0.00769
                  37,            0.025068,            0.031001,          0.00082896,             0.78409,             0.62468,             0.66311,              0.4495,            0.033725,            0.015459,           0.0010216,            0.007624,            0.007624,            0.007624
                  38,            0.024771,            0.030671,          0.00085586,             0.78603,             0.62594,             0.66585,              0.4511,            0.033691,            0.015452,            0.001051,            0.007558,            0.007558,            0.007558
                  39,            0.024884,             0.03088,          0.00084787,             0.78159,             0.62439,             0.66483,             0.45136,            0.033567,            0.015481,            0.001061,            0.007492,            0.007492,            0.007492
                  40,            0.024752,            0.030745,          0.00081931,             0.76833,             0.62703,             0.66583,               0.452,            0.033445,            0.015498,           0.0010412,            0.007426,            0.007426,            0.007426
                  41,            0.024846,            0.030861,          0.00089962,             0.76096,             0.63378,             0.66647,             0.45218,            0.033399,            0.015486,          0.00099443,             0.00736,             0.00736,             0.00736
                  42,              0.0257,            0.031629,           0.0013277,             0.76022,              0.6398,             0.66745,              0.4538,            0.033295,            0.015482,          0.00096863,            0.007294,            0.007294,            0.007294
